sentence,contains_bad_word
banci kamu tidak berani balas lagi dasar penakut wkwk di ,1
Aturan yang diusulkan tidak diizinkan untuk dipublikasikan.,0
 dasar menteri ke cebong 2019 ganti presiden presiden dan ganti menteri agama sontoloyo munafik ,1
mulut jamban bani taplak bani serbet cebonger tai sumbu pendek intelligence quotient jongkok dan masih banyak lagi itu benar benar familier ditelinga dan lalu siapa sebenarnya yang memulai dan entahlah tapi kalau harus menghentikan istilah cebong dan kampret,1
Dia tidak punya alasan untuk membuat masalah situasi.,0
 daddy jahanam sanga terkutuk koo ,1
Satu-satunya hal yang dapat dilakukan masyarakat kita adalah lebih banyak kekuasaan kepada para pemilih presiden.,0
media prima nih sebenarnya sudah miskin sampai terpaksa buat home belanja dengan syarikat korea berita pun lagi teruk dari fake news patut bungkus je dengan drama drama sampah sarap itu ,1
Dasar bajingan... gub wagub dki skr,1
 dan siapapun yang pro pemerintah langsung dicap kafir komunis dan pro asing dan melek matanya rien ,1
"itu elu nyet,lu monyet.",1
"Belajar dari kesalahan kita adalah bagian penting dari pertumbuhan dan perkembangan diri kita, jadi jangan pernah takut untuk mencoba dan gagal.",0
"Tidak masalah, kebijakan terbaik.",0
"Bangsat, orang kayak gitu nggak pantas jadi pemimpin.",1
"Menjaga perdamaian antara Nona Howard dan Alfred Inglethorp akan sulit, setelah perceraian mereka.",0
saya tidak pernah menaruh milik saya di jendela,0
Kamu tahu tidak game-game yang menguji keterampilan motorik dan refleks pemain? Aku ingin mencari game yang memacu keterampilan motorik dan refleks.,0
janji anjing babi bangsat,1
"Dingin bat anjing, bodo amat lah ga mandi aja gua",1
Ekonomi Baru berubah dengan cepat.,0
Mereka akan berziarah ke Yerusalem.,0
"Tai anjing, kau membuatku muak!",1
Orang berinteraksi lebih sedikit saat mereka memainkan permainan baccarat dibandingkan dengan blackjack.,0
"Jika tes narkoba Anda positif, Anda diberi kesempatan untuk mengikuti program rehabilitasi.",0
"Natalia, mengetahui bahwa akan sangat berbahaya untuk pergi bersamanya, bertanya kepada Greuze apakah benar-benar bijaksana untuk membawanya ke sana, berpikir bahwa mungkin tidak sepenuhnya aman untuk melanjutkan saat ini.",0
terus ganyang partai komunis indonesia ,1
Skenario Moderasi CEF dapat dianggap sebagai penurunan 10% dalam pendanaan untuk program.,0
anda memang tidak sepe i diktator yang mengatakan anda diktator dan otoriter itu pasti terkena rabun ayam,1
Njirrr kurang tidur bangsat!,1
Dokumen serta semua informasi keamanan dirahasiakan.,0
 korban cuci otak mayjen k kunyuk ,1
"Aku ingin berbicara tentang rencana liburan bersama keluarga, apa kamu memiliki rencana liburan yang bagus?",0
Babi! Lo nggak bisa mikir apa-apa!,1
Asu ngakak,1
Fpi isinya org bajingan tp pengecut semua....,1
Badan tersebut menerima draf produk dari GAO.,0
 yang bilang pencitraan itu justru sedang melakukan pencitraan itu sendiri tepat kayak prabowo,1
LSC memiliki lebih dari 260 tahun pengalaman dengan staf mereka.,0
oi warga jangan bawa bocah emak ya oke turunkan jokowi,1
"Tai anjing, kau membuatku muak dengan kepalsuan dan kepura-puraanmu yang tidak berguna!",1
 mesir komunis kafir ekonomi dikuasai dajjal poros beijing dan dan ,1
LELAKI BANGSAT LELAKI KARDUS LELAKI ANJING !!! KALOO CEWEEE LU GAK MAU GOSAHH DIPAKSAA ANJENG !!! GENUGG JUGA NIHH !!!,1
adek lacur tiap chatan bikin sange,1
"Kekaisaran terpecah antara dua putra, yang berjuang tanpa henti, sehingga kekaisaran tidak pernah lagi dipersatukan kembali.",0
"Tolol, lu pikir gue nggak tau apa yang lu lakuin?",1
Bisa bedain bajingan sama yg nangkap bajingan gak ?? Goblok amat lu cok,1
penipu nih bangsat,1
Aku tahu segalanya yang perlu diketahui tentangnya.,0
"Babi kau, tidak ada gunanya berbicara denganmu!",1
"Banjir masuk rumah, masih hujan deras dan mati listrik..",0
"Memek lo kayak lubang kubangan, jorok banget!",1
Tolol! Lo itu nggak punya rasa malu ya?,1
Ekonom menyarankan bahwa perubahan ini kecil dan karena itu tidak penting.,0
Asu! Lo itu memang nggak ada gunanya dan cuma bikin orang lain kesal.,1
 yang bawa kabur 35 t sih hanggo ke singapura sih monyet nih diam saja ,1
"Brengsek, kau selalu merusak semuanya!",1
Gak mau dikatain monyet tapi kelakuan mirip monyet,1
 pak penjelasan berikut untuk mendorong anda mau mengklarifikasi kebenaran 25 nabi islam,1
 cuma son oh gong monyet bawa perasaan yang galau cuma karena enggak di invite grup chatting ,1
"Saya berharap Anda tidak mengungkapkan identitas Anda, itu adalah kesalahan.",0
"Anak haram, jangan sok pintar!",1
Ada Festival Azalea di Kuil Nezu.,0
Tolol! Lo itu emang bego dan cuma bisa ngerusak aja.,1
"Pantat lo bau busuk banget, mandi dong!",1
diam monyet,1
"Kontol kau, kau merusak semuanya!",1
Sudah berapa lama kamu mengeksplorasi seni dan budaya dari berbagai negara? Aku ingin tahu seberapa sering kamu mengeksplorasi seni dan budaya dari berbagai negara dan budaya.,0
Emang nya dua ASU itu punya malu...???,1
Sialan! Lo itu cuma jahat dan suka bikin onar.,1
"Anak-anak saat ini bukanlah kumpulan kegembiraan, dan merupakan simbol kegagalan.",0
Balasan marah mereka kepada wasit dapat dibenarkan.,0
Alay lo monyet.,1
"So Sweet, Pemain Ini Gendong Anjing Pengganggu Laga",0
"Kita harus selalu berusaha untuk menjadi orang yang jujur dan terpercaya, karena integritas adalah kunci untuk membangun hubungan yang kuat dan saling percaya.",0
"Waktunya shalat Maghrib. Setan akan lari terbirit-birit ketika mendengar suara adzan, mari kita jawab kumandang adzan.",0
"Tai anjing, kau membuatku muak!",1
Hancurkan! Gw nggak pernah berharap baik sama orang kayak lo yang cuma bisa bikin ulah.,1
Itu pendapat otak mu..monyet. babi. Anjing..kau..,1
Sebagian besar CD saya adalah nyanyian burung yang mati di alam liar.,0
"Tolol, kau benar-benar bodoh!",1
Orang kulit hitam dengan bangga mengepang rambut mereka.,0
Hanya anggota yang dapat menggunakan stasiun mendengarkan CD di samping.,0
"Ketika kita merasa putus asa atau kecewa, penting untuk memiliki seseorang yang bisa kita andalkan untuk mendukung kita dan memberi kita semangat.",0
Bodo amatlah anjing,1
Anjing yang menggonggong biasanya tidak menggigit. Orang yang banyak bicara biasanya tidak bisa bekerja.,0
Saya pikir itu membuat mereka merasa seperti orang luar tetapi di sisi lain mereka menerima banyak keuntungan pajak.,0
Petugas pengadilan memasukkan nomor telepon departemen bantuan hukum karena akan membantu mereka yang tidak mampu membayar pengacara.,0
"Sampah masyarakat, lo!",1
"Goblok, kau tidak mengerti apa-apa!",1
Mood ancur bangsat masi pagi iniiii,1
Hubungan mereka dingin dan tidak berarti.,0
Microsoft bayar bulan rumah sewa unifi game bayar beli tok beli ya. Eh babi,1
 betul beban hidup meningkat dirasakan oleh bani sumbu pendek yang biasa teriak teriak kopar kafir mereka kekurangan job demo karena sudah tidak laku ,1
gaya kamu kunyuk ,1
"bangsat kau penipu,ANJING tobat lo sebelum ajal menjemput",1
Pergi sekarang.,0
"Anjing kau, dasar tolol! Bajingan, kau pikir kau siapa?",1
Mereka tidak bisa membela diri karena usia mereka.,0
Perek! Gw nggak mau dengerin omong kosong lo yang cuma bikin orang lain gak tenang.,1
Orang cacat diuji dgn kecacatan.,1
Tidak ada yang menyukai Hakim Bailey.,0
"Gak usah mukul juga kali, dasar manusia jenis apa kau mbak, seandainya keluarga atau saudara nya di gituin apa mau goblok kau Bajingan kau tidak bisa menghargai orang lain",1
Lubang hidung anjing laut akan menutup jika ia berada didalam air,0
Nyonya Inglethorp pasti meminumnya.,0
Dasar bajingan lemah,1
Saya berasumsi bahwa Anda melakukannya?,0
"Tai anjing, kau membuatku muak! Goblok, kau tidak mengerti apa-apa!",1
Mata pelajaran terburuk saya di sekolah menengah adalah matematika.,0
lampu sudah mati dari jam 3.,0
 betul bang nanti kumpulan manusia songong itu mengklaim merasa paling pintar dan hebat buat jaka a gerombolan kampret nasi bungkus dan kencing onta ,1
"Cinta monyet rasa suka2 pada nilai2 fisik yg disukai, seperti cinta hewan pada sesamanya. Cinta sejati itu cinta ibu pd anaknya penuh kasih.",0
Butuh sekitar tujuh jam perjalanan untuk sampai ke sana dari sini.,0
"Selama tiga tahun, kami memiliki tiga orang Denmark.",0
Dia memiliki pandangan baru.,0
Apasi anjing,1
"sorry jelek, ngerjainnya buru2 banget.",0
Kamu tahu tidak cara mengatasi kebosanan saat memainkan game yang sama berulang-ulang? Aku ingin mencari cara baru untuk memperkaya pengalaman bermain game.,0
Kami tidak melakukan apa-apa selain menatap dinding sampai permainan dimulai.,0
